,Make,Year of manufacture,Condition,Mileage,Engine Size,Fuel,Transmission,Price,Build
237,Mercedes-Benz,2008,Foreign Used,150928,3000,Petrol,Automatic,"5,145,000",
238,Lexus,2008,Nigerian Used,165575,3500,Petrol,Automatic,"4,368,000",
239,Mazda,2009,Foreign Used,177240,3700,Petrol,Automatic,"6,032,000",SUV
240,Mercedes-Benz,2007,Nigerian Used,233293,4700,Petrol,Automatic,"6,240,000",SUV
241,Peugeot,2012,Nigerian Used,65430,2400,Petrol,Automatic,"4,725,000",
242,Toyota,2003,Foreign Used,179889,1800,Petrol,Automatic,"3,213,000",
243,Mercedes-Benz,2010,Nigerian Used,71626,4700,Petrol,Automatic,"4,725,000",SUV
244,Toyota,2014,Nigerian Used,161613,1800,Petrol,Automatic,"5,040,000",
245,Toyota,2008,Foreign Used,181596,3300,Petrol,Automatic,"4,158,000",
246,Toyota,2012,Nigerian Used,78077,1800,Petrol,Automatic,"3,360,000",
247,Honda,2011,Nigerian Used,92201,3500,Petrol,Automatic,"3,885,000",
248,Toyota,2005,Nigerian Used,223938,1800,Petrol,Automatic,"3,120,000",
249,Lexus,2010,Nigerian Used,52276,3500,Petrol,Automatic,"7,350,000",SUV
250,Toyota,2012,Nigerian Used,92564,2500,Petrol,Automatic,"4,992,000",
251,Toyota,2013,Foreign Used,104763,2800,Petrol,Automatic,"6,595,000",
252,Honda,2014,Foreign Used,281034,2400,Petrol,Automatic,"6,457,500",
253,Lexus,2007,Nigerian Used,97872,3500,Petrol,Automatic,"3,150,000",
254,Toyota,2009,Nigerian Used,326449,1800,Petrol,Automatic,"3,024,000",
255,Toyota,2009,Nigerian Used,326449,1800,Petrol,Automatic,"3,024,000",
256,Peugeot,2012,Nigerian Used,65430,2400,Petrol,Automatic,"4,725,000",
257,Toyota,2015,Foreign Used,81302,3500,Petrol,Automatic,"15,120,000",SUV
258,Toyota,2012,Nigerian Used,78077,1800,Petrol,Automatic,"3,360,000",
259,Mercedes-Benz,2011,Nigerian Used,194738,3000,Petrol,Automatic,"3,465,000",
260,Hyundai,2009,Foreign Used,275531,1600,Petrol,Automatic,"3,150,000",
261,Lexus,2010,Foreign Used,111944,3500,Petrol,Automatic,"10,500,000",SUV
262,Honda,2014,Foreign Used,281034,2400,Petrol,Automatic,"6,457,500",
263,Mercedes-Benz,2013,Nigerian Used,240189,5500,Petrol,Automatic,"8,980,000",SUV
264,Toyota,2012,Foreign Used,300528,2400,Petrol,Automatic,"7,280,000",
265,Honda,2014,Nigerian Used,234466,2400,Petrol,Automatic,"4,095,000",
266,Toyota,2012,Nigerian Used,76252,3500,Petrol,Automatic,"6,825,000",SUV
267,Nissan,2007,Nigerian Used,222777,4000,Petrol,Automatic,"3,465,000",SUV
268,Toyota,2009,Nigerian Used,187805,1800,Petrol,Automatic,"2,940,000",
269,Honda,2011,Nigerian Used,92201,3500,Petrol,Automatic,"3,885,000",
270,Toyota,2015,Foreign Used,81302,3500,Petrol,Automatic,"15,120,000",SUV
271,Lexus,2008,Nigerian Used,165694,3500,Petrol,Automatic,"4,680,000",
272,Land Rover,2015,Foreign Used,65,3000,Petrol,Automatic,"23,100,000",SUV
273,Toyota,2007,Nigerian Used,136767,2400,Petrol,Automatic,"2,625,000",
274,Nissan,2007,Nigerian Used,328335,3500,Petrol,Automatic,"1,575,000",
275,Lexus,2010,Foreign Used,111944,3500,Petrol,Automatic,"10,500,000",SUV
276,Toyota,2003,Nigerian Used,224060,3000,Petrol,Automatic,"2,080,000",SUV
277,Hyundai,2009,Foreign Used,275531,1600,Petrol,Automatic,"3,150,000",
278,Toyota,2010,Foreign Used,157496,2500,Petrol,Automatic,"4,294,500",
279,Mercedes-Benz,2011,Nigerian Used,129223,3000,Petrol,Automatic,"4,472,000",
